IP,AS,ASName,CountryCode,Country,City
0.0.0.0,NA,NA,NA,NA,NA
162.219.48.11,NA,NA,CA,Canada,Ottawa
162.219.48.24,NA,NA,CA,Canada,Ottawa
162.219.48.37,NA,NA,CA,Canada,Ottawa
162.219.49.11,NA,NA,CA,Canada,Ottawa
162.219.49.24,NA,NA,CA,Canada,Ottawa
162.219.49.37,NA,NA,CA,Canada,Ottawa
162.219.50.11,NA,NA,CA,Canada,Ottawa
162.219.50.24,NA,NA,CA,Canada,Ottawa
162.219.50.37,NA,NA,CA,Canada,Ottawa
196.201.2.203,NA,NA,GH,Ghana,
196.201.2.216,NA,NA,GH,Ghana,
196.201.2.229,NA,NA,GH,Ghana,
2001:550:6800::20,174,"COGENT-174-CogentCommunications,US",US,United States,Los Angeles
38.102.0.109,174,"COGENT-174-CogentCommunications,US",US,United States,Seattle
38.102.0.83,174,"COGENT-174-CogentCommunications,US",US,United States,Seattle
38.102.0.97,174,"COGENT-174-CogentCommunications,US",US,United States,Seattle
38.102.163.139,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.102.163.152,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.102.163.165,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.106.70.147,174,"COGENT-174-CogentCommunications,US",US,United States,New York
38.106.70.160,174,"COGENT-174-CogentCommunications,US",US,United States,New York
38.106.70.173,174,"COGENT-174-CogentCommunications,US",US,United States,New York
38.107.216.17,174,"COGENT-174-CogentCommunications,US",US,United States,Dallas
38.107.216.32,174,"COGENT-174-CogentCommunications,US",US,United States,Dallas
38.107.216.45,174,"COGENT-174-CogentCommunications,US",US,United States,Dallas
38.109.21.11,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.109.21.24,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.109.21.37,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.112.151.101,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.112.151.75,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.112.151.88,174,"COGENT-174-CogentCommunications,US",US,United States,Washington DC
38.65.210.203,174,"COGENT-174-CogentCommunications,US",US,United States,Chicago
38.65.210.216,174,"COGENT-174-CogentCommunications,US",US,United States,Chicago
38.65.210.229,174,"COGENT-174-CogentCommunications,US",US,United States,Chicago
38.90.140.139,174,"COGENT-174-CogentCommunications,US",US,United States,Arlington
38.90.140.152,174,"COGENT-174-CogentCommunications,US",US,United States,Arlington
38.90.140.165,174,"COGENT-174-CogentCommunications,US",US,United States,Arlington
38.98.51.20,174,"COGENT-174-CogentCommunications,US",US,United States,Los Angeles
38.98.51.33,174,"COGENT-174-CogentCommunications,US",US,United States,Los Angeles
38.98.51.45,174,"COGENT-174-CogentCommunications,US",US,United States,Los Angeles
193.1.12.203,1213,"HEANET,IE",IE,Ireland,
